red_300|0xe57373
red|0xf44336
red_a400|0xff1744
pink_300|0xf06292
pink|0xe91e63
pink_a400|0xf50057
purple_300|0xba68c8
purple|0x9c27b0
purple_a400|0xd500f9
deep_purple_300|0x9575cd
deep_purple|0x673ab7
deep_purple_a400|0x651fff
indigo_300|0x7986cb
indigo|0x3f51b5
indigo_a400|0x3d5afe
blue_300|0x64b5f6
blue|0x2196f3
blue_a400|0x2979ff
light_blue_300|0x4fc3f7
light_blue|0x3a9f4
light_blue_a400|0xb0ff
cyan_300|0x4dd0e1
cyan|0xbcd4
cyan_a400|0xe5ff
teal_300|0x4db6ac
teal|0x9688
teal_a400|0x1de9b6
green_300|0x81c784
green|0x4caf50
green_a400|0xe676
light_green_300|0xaed581
light_green|0x8bc34a
light_green_a400|0x76ff03
lime_300|0xdce775
lime|0xcddc39
lime_a400|0xc6ff00
yellow_300|0xfff176
yellow|0xffeb3b
yellow_a400|0xffea00
amber_300|0xffd54f
amber|0xffc107
amber_a400|0xffc400
orange_300|0xffb74d
orange|0xff9800
orange_a400|0xff9100
deep_orange_300|0xff8a65
deep_orange|0xff5722
deep_orange_a400|0xff3d00
brown_300|0xa1887f
brown|0x795548
grey_300|0xe0e0e0
grey|0x9e9e9e
blue_grey_300|0x90a4ae
blue_grey|0x607d8b
white|fafafa
black|212121
